State,Crude_Death_Rate_Per_100k,Total_Deaths_1999_2020,Pct_With_Private_Insurance,Pct_With_Public_Insurance,Pct_Without_Private_Insurance,Total_Population_Surveyed
West Virginia,1237.9,272220,63.8,46.7,36.2,1736098
Alabama,1074.3,624746,67.5,37.9,32.5,5073710
Arkansas,1058.8,377556,60.8,42.6,39.2,3032793
Mississippi,1058.4,378581,62.5,40.7,37.5,2883778
Kentucky,1047.2,554430,63.1,43.5,36.9,4507797
Maine,1044.3,167129,68.7,40.8,31.3,1386357
Pennsylvania,1036.2,1587676,70.3,38.6,29.7,12893583
Ohio,1020.0,1420648,67.2,38.3,32.8,11714170
Oklahoma,1015.8,471845,62.5,38.8,37.5,4009467
Tennessee,1012.7,800171,66.8,35.5,33.2,7131213
Missouri,986.7,718275,68.2,35.9,31.8,6143552
South Carolina,964.8,564963,67.4,38.3,32.6,5379981
Louisiana,962.5,533862,58.3,46.3,41.7,4505220
Michigan,960.7,1144273,69.7,40.4,30.3,10033412
Iowa,957.0,356883,71.4,36.6,28.6,3195952
Florida,954.6,2306849,65.4,35.8,34.6,23038465
Indiana,950.7,753577,67.2,37.1,32.8,6828838
Montana,947.2,117008,66.7,39.3,33.3,1121105
Rhode Island,945.3,119684,69.1,40.1,30.9,1096654
Delaware,920.1,103628,69.8,39.9,30.2,1037354
Vermont,917.9,68877,70.9,40.5,29.1,642759
Kansas,913.9,317245,73.8,30.6,26.2,2907131
South Dakota,908.6,92950,73.2,32.1,26.8,905334
Wisconsin,892.0,616455,72.7,35.3,27.3,5897068
North Carolina,881.1,1058363,67.1,37.7,32.9,10837928
New Hampshire,875.4,140176,76.8,33.2,23.2,1392859
North Dakota,873.5,76357,79.3,28.6,20.7,777259
Oregon,868.9,419047,66.5,42.2,33.5,4227347
Nebraska,867.3,196106,73.4,31.9,26.6,1977209
New Mexico,865.1,216169,52.6,51.4,47.4,2091891
Connecticut,858.7,368829,67.6,38.0,32.4,3630971
Massachusetts,842.0,681120,73.1,37.4,26.9,7070822
Illinois,838.8,1288414,69.5,34.9,30.5,12537506
New Jersey,833.2,888633,70.5,33.0,29.5,9413695
Wyoming,826.2,57213,72.7,31.2,27.3,576912
Maryland,805.1,574383,73.3,35.0,26.7,6167570
Arizona,802.9,656547,65.0,37.6,35.0,7473360
New York,797.2,1872178,64.5,43.6,35.5,19666716
Nevada,797.0,275593,63.9,36.1,36.1,3228647
Virginia,789.6,787276,72.7,34.4,27.3,8580424
Idaho,786.6,157095,69.8,33.7,30.2,1974726
Georgia,783.7,955604,67.2,31.9,32.8,10988839
Minnesota,779.5,511971,74.0,35.1,26.0,5732348
Hawaii,768.7,129363,74.6,40.1,25.4,1386888
Washington,750.3,644220,70.8,35.6,29.2,7843290
District of Columbia,747.6,59193,69.4,34.6,30.6,691979
Texas,697.2,2271336,63.9,28.2,36.1,30799313
Colorado,669.9,434059,70.8,32.2,29.2,5858923
California,667.1,3091624,63.2,41.0,36.8,38978900
Alaska,578.9,50689,65.8,37.8,34.2,705677
Utah,572.6,204810,77.9,22.2,22.1,3476732
